TIPOLOGIA,ESSENZA,UBICAZIONE,LUOGO,CIRCOSCR,VIA,DISPOSIZ,POSIZ,ALTEZZA,DIAMFUSTO,NOTEGENER,TIPOFOGLIA
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Piccianello,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Arrigo Boito,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Giovanni Paolo II,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,NERIUM OLEANDER,SERRA RIFUSA,Via,Serra Rifusa,Via Gaetano Donizetti,Filare,ND,1) <= 6m,1) <= 20cm,ND,Sempreverde
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PYRUS COMMUNIS,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PRUNUS SP.,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,Via Ruggiero Leoncavallo,Filare,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,POPULUS NIGRA,SERRA RIFUSA,Via,Serra Rifusa,ND,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,CERATONIA SILIQUA,SERRA RIFUSA,Aiuola spartitraffico,Serra Rifusa,ND,Gruppo,ND,0,-,ND,Sempreverde
Albero,ACER CAMPESTRE,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PRUNUS CERASIFERA,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER PSEUDOPLATANUS,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,ACER CAMPESTRE,SERRA RIFUSA,Via,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PRUNUS CERASIFERA,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PLATANUS SP.,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,PLATANUS SP.,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,CERCIS SILIQUASTRUM,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
Albero,PLATANUS SP.,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,ND
Albero,ACER CAMPESTRE,SERRA RIFUSA,Aiuola,Serra Rifusa,Via Caduti di Nassiyria,Isolato,ND,1) <= 6m,1) <= 20cm,ND,Caduca
